author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet,VTL,,,,,
1055221626,2017-02-26 14:09:29+00:00, ,8.35854E+17,en,0,0,0,1, ,#flightdeal #businessclass Rome to Singapore $1446 RT with SriLankan https://t.co/HqMXC7tHSz All deals https://t.co/ob7lLy7xhd,VTL,,,,,
1055221626,2017-02-26 07:45:51+00:00, ,8.35758E+17,en,0,0,0,1, ,#flightdeal #businessclass Oslo to Christchurch $2580 RT with Singapore Airlines https://t.co/bzhbgXzVev All deals https://t.co/ob7lLy7xhd,VTL,,,,,
7.13449E+17,2017-02-25 15:53:13+00:00, ,8.35518E+17,en,0,0,0,1, ,RT @MightyTravels: #flightdeal #businessclass Singapore to Kochi $454 RT with Malindo Air https://t.co/VYAts3PPKu All deals https://t.co/ob‚Ä?,VTL,,,,,
1055221626,2017-02-25 15:43:55+00:00, ,8.35516E+17,en,1,0,0,1, ,#flightdeal #businessclass Singapore to Kochi $454 RT with Malindo Air https://t.co/VYAts3PPKu All deals https://t.co/ob7lLy7xhd,VTL,,,,,
7.13449E+17,2017-02-24 11:07:43+00:00, ,8.35084E+17,en,0,0,0,2, ,RT @MightyTravels: #flightdeal #businessclass Shanghai to Singapore $540 RT with Malaysia Airlines https://t.co/WYwV24JbVk All deals https:‚Ä?,VTL,,,,,
7.13449E+17,2017-02-24 11:05:19+00:00, ,8.35083E+17,en,0,0,0,2, ,RT @MightyTravels: #flightdeal #businessclass Singapore to Delhi $559 RT with Malaysia Airlines https://t.co/0x1Sywo43t All deals https://t‚Ä?,VTL,,,,,
1055221626,2017-02-24 08:12:28+00:00, ,8.3504E+17,en,1,0,0,2, ,#flightdeal #businessclass Shanghai to Singapore $540 RT with Malaysia Airlines https://t.co/WYwV24JbVk All deals https://t.co/ob7lLy7xhd,VTL,,,,,
1055221626,2017-02-24 07:05:33+00:00, ,8.35023E+17,en,1,0,0,2, ,#flightdeal #businessclass Singapore to Delhi $559 RT with Malaysia Airlines https://t.co/0x1Sywo43t All deals https://t.co/ob7lLy7xhd,VTL,,,,,
7.13449E+17,2017-02-22 15:08:17+00:00, ,8.3442E+17,en,0,0,0,2, ,RT @MightyTravels: #flightdeal #businessclass Alexandria to Singapore $934 RT with Qatar Airways https://t.co/goEQLcaJcY All deals https://‚Ä?,VTL,,,,,
1055221626,2017-02-22 14:19:18+00:00, ,8.34407E+17,en,2,0,0,2, ,#flightdeal #businessclass Alexandria to Singapore $934 RT with Qatar Airways https://t.co/goEQLcaJcY All deals https://t.co/ob7lLy7xhd,VTL,,,,,
7.13449E+17,2017-02-14 15:28:12+00:00, ,8.31525E+17,en,0,0,0,2, ,RT @MightyTravels: #flightdeal #businessclass Singapore to Kochi $453 RT with Malindo Air https://t.co/YuXPRhXyNS All deals https://t.co/ob‚Ä?,VTL,,,,,
1055221626,2017-02-14 15:00:06+00:00, ,8.31518E+17,en,1,0,0,2, ,#flightdeal #businessclass Singapore to Kochi $453 RT with Malindo Air https://t.co/YuXPRhXyNS All deals https://t.co/ob7lLy7xhd,VTL,,,,,
7.13449E+17,2017-02-13 15:06:32+00:00, ,8.31158E+17,en,0,0,0,2, ,RT @MightyTravels: #flightdeal #businessclass Stockholm to Auckland $2266 RT with Singapore Airlines https://t.co/5yeZud1KES All deals http‚Ä?,VTL,,,,,
1055221626,2017-02-13 14:15:49+00:00, ,8.31145E+17,en,1,0,0,2, ,#flightdeal #businessclass Stockholm to Auckland $2266 RT with Singapore Airlines https://t.co/5yeZud1KES All deals https://t.co/ob7lLy7xhd,VTL,,,,,
7.13449E+17,2017-02-13 12:17:28+00:00, ,8.31115E+17,en,0,0,0,2, ,RT @MightyTravels: #flightdeal #businessclass Stockholm to Auckland $2684 RT with Singapore Airlines https://t.co/2mJ8EUDCRK All deals http‚Ä?,VTL,,,,,
