author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet,border measures,,,,,,,,,
56349958,2016-08-05 09:40:14+00:00, ,7.61497E+17,en,0,0,0,0, ,5/8 Singapore steps up inland and border security measures after Indonesian police foil rocket attack plot on Marina Bay/STAR,border measures,,,,,,,,,
14793505,2016-08-05 09:26:10+00:00, ,7.61493E+17,en,0,0,0,80, ,RT @ChannelNewsAsia: Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA h‚Ä?,border measures,,,,,,,,,
229393689,2016-08-05 09:10:48+00:00, ,7.6149E+17,en,0,0,0,80, ,RT @ChannelNewsAsia: Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA h‚Ä?,border measures,,,,,,,,,
77156215,2016-08-05 08:59:25+00:00, ,7.61487E+17,en,0,0,0,80, ,RT @ChannelNewsAsia: Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA h‚Ä?,border measures,,,,,,,,,
414903362,2016-08-05 08:55:36+00:00, ,7.61486E+17,en,0,0,0,80, ,RT @ChannelNewsAsia: Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA h‚Ä?,border measures,,,,,,,,,
137299036,2016-08-05 08:51:24+00:00, ,7.61485E+17,en,0,0,0,80, ,RT @ChannelNewsAsia: Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA h‚Ä?,border measures,,,,,,,,,
7.61483E+17,2016-08-05 08:51:06+00:00, ,7.61485E+17,en,0,0,0,80, ,RT @ChannelNewsAsia: Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA h‚Ä?,border measures,,,,,,,,,
65617648,2016-08-05 08:49:10+00:00, ,7.61484E+17,en,0,0,0,80, ,RT @ChannelNewsAsia: Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA h‚Ä?,border measures,,,,,,,,,
472201626,2016-08-05 08:41:41+00:00, ,7.61482E+17,en,0,0,0,80, ,RT @ChannelNewsAsia: Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA h‚Ä?,border measures,,,,,,,,,
2956433055,2016-08-05 08:29:01+00:00, ,7.61479E+17,en,0,0,0,80, ,RT @ChannelNewsAsia: Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA h‚Ä?,border measures,,,,,,,,,
